ssid,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,228,2412,0,2417,-91,-67,100
1,230,2412,0,2412,-91,-76,100
1,230,2412,0,2412,-90,-76,100
1,230,2412,0,2417,-91,-69,100
1,230,2412,0,2417,-91,-67,100
1,230,2412,0,2417,-91,-66,100
1,230,2412,0,2417,-91,-64,100
1,230,2412,0,2417,-90,-69,100
1,230,2412,0,2417,-90,-67,100
1,230,2412,0,2417,-90,-66,100
1,230,2412,0,2417,-90,-64,100
1,230,2412,0,2422,-91,-72,100
1,230,2412,0,2422,-90,-72,100
1,222,2412,0,2412,-90,-62,100
1,222,2412,0,2417,-90,-60,100
1,222,2412,0,2422,-90,-72,100
1,222,2412,0,2422,-90,-70,100
1,222,2412,0,2422,-90,-66,100
1,225,2412,0,2412,-90,-61,100
1,225,2412,0,2417,-90,-66,100
1,225,2412,0,2427,-90,-68,100
1,235,2412,0,2412,-90,-65,100
1,235,2412,0,2412,-89,-65,100
1,235,2412,0,2412,-88,-65,100
1,235,2412,0,2417,-90,-71,100
1,235,2412,0,2417,-90,-69,100
1,235,2412,0,2417,-89,-71,100
1,235,2412,0,2417,-89,-69,100
1,235,2412,0,2417,-88,-71,100
1,235,2412,0,2417,-88,-69,100
1,235,2412,0,2422,-90,-65,100
1,235,2412,0,2422,-89,-65,100
1,235,2412,0,2422,-88,-65,100
1,217,2412,0,2412,-89,-66,100
1,217,2412,0,2412,-87,-66,100
1,217,2412,0,2417,-89,-67,100
1,217,2412,0,2417,-89,-64,100
1,217,2412,0,2417,-89,-62,100
1,217,2412,0,2417,-87,-67,100
1,217,2412,0,2417,-87,-64,100
1,217,2412,0,2417,-87,-62,100
1,217,2417,0,2412,-83,-66,100
1,217,2417,0,2417,-83,-67,100
1,217,2417,0,2417,-83,-64,100
1,217,2417,0,2417,-83,-62,100
1,221,2412,2412,2412,-87,-94,-66
1,221,2412,2412,2412,-87,-94,-65
1,221,2412,2412,2412,-87,-94,-64
1,221,2412,2412,2412,-87,-94,-63
1,221,2412,2412,2417,-87,-94,-78
1,221,2412,2412,2417,-87,-94,-68
1,221,2412,2412,2417,-87,-94,-65
1,221,2412,2412,2417,-87,-94,-62
1,195,2427,0,2437,-86,-74,100
1,195,2427,0,2437,-86,-73,100
1,195,2427,0,2437,-86,-72,100
1,195,2427,0,2437,-86,-71,100
1,195,2427,0,2442,-86,-78,100
1,195,2427,0,2442,-86,-75,100
1,195,2427,0,2442,-86,-74,100
1,195,2427,0,2442,-86,-73,100
1,195,2432,0,2437,-91,-74,100
1,195,2432,0,2437,-91,-73,100
1,195,2432,0,2437,-91,-72,100
1,195,2432,0,2437,-91,-71,100
1,195,2432,0,2437,-90,-74,100
1,195,2432,0,2437,-90,-73,100
1,195,2432,0,2437,-90,-72,100
1,195,2432,0,2437,-90,-71,100
1,195,2432,0,2437,-88,-74,100
1,195,2432,0,2437,-88,-73,100
1,195,2432,0,2437,-88,-72,100
1,195,2432,0,2437,-88,-71,100
1,195,2432,0,2437,-85,-74,100
1,195,2432,0,2437,-85,-73,100
1,195,2432,0,2437,-85,-72,100
1,195,2432,0,2437,-85,-71,100
1,195,2432,0,2442,-91,-78,100
1,195,2432,0,2442,-91,-75,100
1,195,2432,0,2442,-91,-74,100
1,195,2432,0,2442,-91,-73,100
1,195,2432,0,2442,-90,-78,100
