ssid,channel,source,signal_strength,floorid,timestamp,roomid,duplication_count
2,2462,cap1,-76,60,2023-12-13 16:21:03,214,7
1,2457,cap2,-51,60,2023-12-13 16:21:03,214,6
2,2462,cap1,-77,60,2023-12-13 16:21:03,214,11
2,2462,cap1,-77,60,2023-12-13 16:21:03,214,11
1,2457,cap2,-51,60,2023-12-13 16:21:03,214,6
2,2462,cap1,-77,60,2023-12-13 16:21:03,214,11
2,2462,cap1,-77,60,2023-12-13 16:21:03,214,11
2,2462,cap1,-77,60,2023-12-13 16:21:03,214,11
2,2462,cap1,-77,60,2023-12-13 16:21:03,214,11
2,2462,cap1,-77,60,2023-12-13 16:21:03,214,11
2,2462,cap1,-77,60,2023-12-13 16:21:03,214,11
2,2462,cap1,-75,60,2023-12-13 16:21:03,214,13
2,2462,cap1,-75,60,2023-12-13 16:21:03,214,13
2,2462,cap1,-81,60,2023-12-13 16:21:03,214,6
1,2462,cap2,-54,60,2023-12-13 16:21:03,214,6
2,2462,cap1,-81,60,2023-12-13 16:21:03,214,6
1,2462,cap2,-54,60,2023-12-13 16:21:03,214,6
2,2462,cap1,-81,60,2023-12-13 16:21:03,214,6
1,2462,cap2,-54,60,2023-12-13 16:21:03,214,6
1,2462,cap1,-83,60,2023-12-13 16:21:03,214,6
2,2462,cap1,-81,60,2023-12-13 16:21:03,214,6
1,2462,cap2,-54,60,2023-12-13 16:21:03,214,6
1,2462,cap1,-83,60,2023-12-13 16:21:03,214,6
2,2462,cap1,-81,60,2023-12-13 16:21:03,214,6
1,2462,cap1,-83,60,2023-12-13 16:21:03,214,6
2,2462,cap1,-81,60,2023-12-13 16:21:03,214,6
1,2462,cap1,-83,60,2023-12-13 16:21:03,214,6
1,2462,cap1,-83,60,2023-12-13 16:21:03,214,6
1,2462,cap1,-83,60,2023-12-13 16:21:03,214,6
1,2462,cap2,-69,51,2023-12-13 16:21:03,214,6
1,2462,cap2,-69,51,2023-12-13 16:21:03,214,6
1,2462,cap2,-69,51,2023-12-13 16:21:03,214,6
1,2462,cap2,-69,51,2023-12-13 16:21:03,214,6
1,2462,cap1,-83,51,2023-12-13 16:21:03,214,8
2,2462,cap1,-85,51,2023-12-13 16:21:03,214,12
1,2462,cap2,-69,51,2023-12-13 16:21:03,214,6
1,2462,cap1,-83,51,2023-12-13 16:21:03,214,8
2,2462,cap1,-85,51,2023-12-13 16:21:03,214,12
1,2462,cap2,-69,51,2023-12-13 16:21:03,214,6
2,2462,cap1,-85,51,2023-12-13 16:21:03,214,12
2,2457,cap2,-58,51,2023-12-13 16:21:03,214,10
2,2457,cap2,-58,51,2023-12-13 16:21:03,214,10
2,2457,cap2,-58,51,2023-12-13 16:21:03,214,10
2,2462,cap1,-82,51,2023-12-13 16:21:03,214,7
2,2462,cap1,-82,51,2023-12-13 16:21:03,214,7
2,2462,cap1,-82,51,2023-12-13 16:21:03,214,7
2,2462,cap1,-82,51,2023-12-13 16:21:03,214,7
1,2462,cap1,-83,51,2023-12-13 16:21:03,214,8
2,2462,cap1,-88,51,2023-12-13 16:21:03,214,10
1,2462,cap1,-83,51,2023-12-13 16:21:03,214,8
2,2462,cap1,-88,51,2023-12-13 16:21:03,214,10
1,2457,cap2,-55,51,2023-12-13 16:21:03,214,6
1,2457,cap2,-55,51,2023-12-13 16:21:03,214,6
1,2457,cap2,-55,51,2023-12-13 16:21:03,214,6
1,2462,cap1,-83,51,2023-12-13 16:21:03,214,8
2,2462,cap1,-88,51,2023-12-13 16:21:03,214,10
1,2462,cap1,-74,51,2023-12-13 16:21:03,214,9
2,2462,cap1,-88,51,2023-12-13 16:21:03,214,10
