ssid,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
2,112,2462,2462,2442,-51,-78,-90
2,190,2452,2452,2457,-90,-95,-69
2,190,2452,2452,2457,-90,-95,-63
2,190,2452,2452,2457,-89,-95,-69
2,190,2452,2452,2457,-89,-95,-63
2,190,2452,2452,2457,-87,-95,-69
2,190,2452,2452,2457,-87,-95,-63
2,212,2452,2452,2452,-88,-95,-66
2,212,2452,2452,2452,-88,-93,-66
2,212,2452,2452,2452,-87,-95,-66
2,212,2452,2452,2452,-87,-93,-66
2,212,2452,2452,2452,-86,-95,-66
2,212,2452,2452,2452,-86,-93,-66
2,212,2452,2452,2452,-85,-95,-66
2,212,2452,2452,2452,-85,-93,-66
2,212,2452,2452,2452,-84,-95,-66
2,212,2452,2452,2452,-84,-93,-66
2,212,2452,2452,2457,-88,-95,-69
2,212,2452,2452,2457,-88,-95,-68
2,212,2452,2452,2457,-88,-95,-65
2,212,2452,2452,2457,-88,-93,-69
2,212,2452,2452,2457,-88,-93,-68
2,212,2452,2452,2457,-88,-93,-65
2,212,2452,2452,2457,-87,-95,-69
2,212,2452,2452,2457,-87,-95,-68
2,212,2452,2452,2457,-87,-95,-65
2,212,2452,2452,2457,-87,-93,-69
2,212,2452,2452,2457,-87,-93,-68
2,212,2452,2452,2457,-87,-93,-65
2,212,2452,2452,2457,-86,-95,-69
2,212,2452,2452,2457,-86,-95,-68
2,212,2452,2452,2457,-86,-95,-65
2,212,2452,2452,2457,-86,-93,-69
2,212,2452,2452,2457,-86,-93,-68
2,212,2452,2452,2457,-86,-93,-65
2,212,2452,2452,2457,-85,-95,-69
2,212,2452,2452,2457,-85,-95,-68
2,212,2452,2452,2457,-85,-95,-65
2,212,2452,2452,2457,-85,-93,-69
2,212,2452,2452,2457,-85,-93,-68
2,212,2452,2452,2457,-85,-93,-65
2,212,2452,2452,2457,-84,-95,-69
2,212,2452,2452,2457,-84,-95,-68
2,212,2452,2452,2457,-84,-95,-65
2,212,2452,2452,2457,-84,-93,-69
2,212,2452,2452,2457,-84,-93,-68
2,212,2452,2452,2457,-84,-93,-65
2,212,2457,2452,2452,-94,-95,-66
2,212,2457,2452,2452,-94,-93,-66
2,212,2457,2452,2452,-86,-95,-66
2,212,2457,2452,2452,-86,-93,-66
2,212,2457,2452,2457,-94,-95,-69
2,212,2457,2452,2457,-94,-95,-68
2,212,2457,2452,2457,-94,-95,-65
2,212,2457,2452,2457,-94,-93,-69
2,212,2457,2452,2457,-94,-93,-68
2,212,2457,2452,2457,-94,-93,-65
2,212,2457,2452,2457,-86,-95,-69
2,212,2457,2452,2457,-86,-95,-68
2,212,2457,2452,2457,-86,-95,-65
2,212,2457,2452,2457,-86,-93,-69
2,212,2457,2452,2457,-86,-93,-68
2,212,2457,2452,2457,-86,-93,-65
2,70,2457,2462,2462,-76,-51,-95
2,70,2457,2462,2462,-76,-49,-95
2,70,2457,2462,2462,-76,-47,-95
2,70,2462,2462,2462,-89,-51,-95
2,70,2462,2462,2462,-89,-49,-95
2,70,2462,2462,2462,-89,-47,-95
2,70,2462,2462,2462,-88,-51,-95
2,70,2462,2462,2462,-88,-49,-95
2,70,2462,2462,2462,-88,-47,-95
2,70,2462,2462,2462,-78,-51,-95
2,70,2462,2462,2462,-78,-49,-95
2,70,2462,2462,2462,-78,-47,-95
2,70,2462,2462,2462,-77,-51,-95
2,70,2462,2462,2462,-77,-49,-95
2,70,2462,2462,2462,-77,-47,-95
2,17,0,2457,0,-65,100,100
2,17,0,2462,0,-78,100,100
2,17,0,2462,0,-72,100,100
2,17,0,2462,0,-70,100,100
2,79,2462,2462,2462,-85,-53,-94
2,79,2462,2462,2462,-85,-51,-94
2,79,2462,2462,2462,-85,-43,-94
2,79,2462,2462,2462,-83,-53,-94
2,79,2462,2462,2462,-83,-51,-94
2,79,2462,2462,2462,-83,-43,-94
2,79,2462,2462,2462,-82,-53,-94
2,79,2462,2462,2462,-82,-51,-94
