ssid,channel,source,signal_strength,floorid,roomid
1,2437,cap3,-87,166,213
1,2437,cap3,-86,166,213
1,2442,cap1,-62,166,213
1,2442,cap1,-58,166,213
1,2442,cap1,-57,166,213
1,2442,cap1,-55,166,213
1,2442,cap2,-87,166,213
1,2442,cap3,-83,166,213
1,2442,cap3,-82,166,213
1,2432,cap1,-52,169,213
1,2432,cap2,-69,169,213
1,2432,cap2,-68,169,213
1,2432,cap2,-60,169,213
1,2437,cap2,-64,169,213
1,2437,cap2,-63,169,213
1,2437,cap3,-82,169,213
1,2437,cap3,-79,169,213
1,2442,cap1,-50,169,213
1,2442,cap2,-61,169,213
1,2442,cap2,-60,169,213
1,2442,cap3,-82,169,213
1,2442,cap3,-81,169,213
1,2447,cap1,-58,169,213
1,2452,cap1,-70,169,213
1,2432,cap2,-68,172,213
1,2432,cap3,-83,172,213
1,2437,cap2,-78,172,213
1,2437,cap3,-91,172,213
1,2437,cap3,-89,172,213
1,2442,cap1,-67,172,213
1,2442,cap1,-66,172,213
1,2442,cap1,-64,172,213
1,2442,cap1,-62,172,213
1,2442,cap2,-74,172,213
1,2442,cap2,-70,172,213
1,2442,cap3,-87,172,213
1,2447,cap1,-64,172,213
1,2427,cap2,-73,175,213
1,2437,cap1,-55,175,213
1,2437,cap2,-71,175,213
1,2437,cap3,-88,175,213
1,2437,cap3,-87,175,213
1,2442,cap1,-59,175,213
1,2442,cap1,-58,175,213
1,2442,cap2,-71,175,213
1,2442,cap2,-68,175,213
1,2442,cap3,-89,175,213
1,2442,cap3,-86,175,213
1,2447,cap2,-70,175,213
1,2432,cap3,-75,178,213
1,2437,cap1,-52,178,213
1,2437,cap2,-67,178,213
1,2437,cap2,-65,178,213
1,2437,cap3,-80,178,213
1,2442,cap1,-56,178,213
1,2442,cap2,-64,178,213
1,2442,cap3,-79,178,213
1,2442,cap3,-77,178,213
1,2442,cap3,-76,178,213
1,2447,cap1,-54,178,213
1,2447,cap2,-68,178,213
1,2447,cap2,-65,178,213
1,2447,cap3,-80,178,213
1,2432,cap1,-55,181,213
1,2437,cap1,-60,181,213
1,2437,cap2,-79,181,213
1,2437,cap2,-75,181,213
1,2437,cap2,-74,181,213
1,2437,cap3,-91,181,213
1,2437,cap3,-89,181,213
1,2437,cap3,-86,181,213
1,2437,cap3,-85,181,213
1,2442,cap1,-65,181,213
1,2442,cap1,-61,181,213
1,2442,cap1,-58,181,213
1,2442,cap2,-77,181,213
1,2442,cap2,-71,181,213
1,2442,cap3,-87,181,213
1,2447,cap2,-76,181,213
1,2437,cap2,-74,184,213
1,2437,cap2,-71,184,213
1,2437,cap2,-66,184,213
1,2437,cap2,-65,184,213
1,2437,cap3,-82,184,213
1,2442,cap1,-46,184,213
1,2442,cap2,-67,184,213
1,2442,cap3,-81,184,213
1,2442,cap3,-80,184,213
1,2442,cap3,-78,184,213
1,2447,cap1,-52,184,213
1,2447,cap1,-51,184,213
1,2447,cap2,-68,184,213
1,2447,cap3,-82,184,213
1,2452,cap1,-65,184,213
1,2427,cap2,-69,187,213
1,2437,cap2,-63,187,213
1,2437,cap3,-83,187,213
1,2437,cap3,-82,187,213
1,2442,cap1,-57,187,213
1,2442,cap2,-65,187,213
1,2442,cap2,-64,187,213
1,2442,cap3,-83,187,213
1,2442,cap3,-82,187,213
1,2442,cap3,-80,187,213
1,2447,cap1,-63,187,213
1,2447,cap2,-71,187,213
1,2412,cap1,-92,190,111
1,2412,cap1,-88,190,111
1,2412,cap1,-86,190,111
1,2412,cap1,-84,190,111
1,2412,cap2,-95,190,111
1,2412,cap2,-94,190,111
1,2412,cap2,-92,190,111
1,2412,cap2,-89,190,111
1,2412,cap2,-87,190,111
1,2412,cap3,-71,190,111
1,2412,cap3,-65,190,111
1,2417,cap3,-75,190,111
1,2417,cap3,-68,190,111
1,2417,cap3,-66,190,111
1,2417,cap3,-65,190,111
1,2417,cap3,-64,190,111
1,2417,cap3,-63,190,111
1,2422,cap3,-67,190,111
1,2427,cap3,-82,190,111
1,2427,cap3,-80,190,111
1,2432,cap3,-75,193,111
1,2437,cap3,-75,193,111
1,2437,cap3,-74,193,111
1,2437,cap3,-73,193,111
1,2437,cap3,-72,193,111
1,2437,cap3,-71,193,111
1,2437,cap3,-70,193,111
1,2437,cap3,-68,193,111
1,2442,cap3,-80,193,111
1,2442,cap3,-77,193,111
1,2442,cap3,-76,193,111
1,2442,cap3,-75,193,111
1,2442,cap3,-74,193,111
1,2442,cap3,-73,193,111
1,2442,cap3,-72,193,111
1,0,cap2,100,193,111
1,0,cap1,100,193,111
1,2427,cap3,-78,196,111
1,2427,cap3,-77,196,111
1,2432,cap3,-84,196,111
1,2432,cap3,-80,196,111
1,2437,cap3,-85,196,111
1,2437,cap3,-82,196,111
1,2437,cap3,-78,196,111
1,2437,cap3,-77,196,111
1,2437,cap3,-69,196,111
1,2457,cap3,-74,196,111
1,2457,cap3,-71,196,111
1,2457,cap3,-70,196,111
1,2462,cap3,-81,196,111
1,2462,cap3,-78,196,111
1,0,cap2,100,196,111
1,0,cap1,100,196,111
1,2442,cap3,-77,199,111
1,2452,cap3,-78,199,111
1,2452,cap3,-77,199,111
1,2457,cap3,-76,199,111
1,2457,cap3,-75,199,111
1,2457,cap3,-74,199,111
1,2457,cap3,-73,199,111
1,2457,cap3,-72,199,111
1,2462,cap3,-81,199,111
1,2462,cap3,-80,199,111
1,2462,cap3,-79,199,111
1,0,cap2,100,199,111
1,0,cap1,100,199,111
1,2442,cap3,-76,202,111
1,2452,cap1,-88,202,111
1,2452,cap1,-85,202,111
1,2452,cap3,-76,202,111
1,2452,cap3,-75,202,111
1,2452,cap3,-71,202,111
1,2457,cap3,-73,202,111
1,2457,cap3,-72,202,111
1,2457,cap3,-71,202,111
1,2457,cap3,-70,202,111
1,2457,cap3,-69,202,111
