ssid,floorid,roomid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
2,361,111,2417,2417,2417,"[-93, -83, -82, -78, -75]",[-86],"[-51, -45]"
2,361,111,2417,2417,2427,"[-93, -83, -82, -78, -75]",[-86],"[-61, -60, -59, -58, -56]"
2,364,111,2412,2412,2412,[-83],[-93],[-37]
2,364,111,2412,2412,2427,[-83],[-93],"[-48, -44]"
2,364,111,2412,2412,2437,[-83],[-93],"[-72, -70, -69]"
2,364,111,2417,2412,2412,"[-85, -76]",[-93],[-37]
2,364,111,2417,2412,2427,"[-85, -76]",[-93],"[-48, -44]"
2,364,111,2417,2412,2437,"[-85, -76]",[-93],"[-72, -70, -69]"
2,364,111,2422,2412,2412,[-86],[-93],[-37]
2,364,111,2422,2412,2427,[-86],[-93],"[-48, -44]"
2,364,111,2422,2412,2437,[-86],[-93],"[-72, -70, -69]"
2,367,111,2417,0,2412,[-74],[100],"[-40, -39]"
2,367,111,2417,0,2427,[-74],[100],[-45]
2,367,111,2417,0,2432,[-74],[100],[-66]
2,367,111,2417,0,2437,[-74],[100],"[-68, -66, -65]"
2,367,111,2422,0,2412,[-79],[100],"[-40, -39]"
2,367,111,2422,0,2427,[-79],[100],[-45]
2,367,111,2422,0,2432,[-79],[100],[-66]
2,367,111,2422,0,2437,[-79],[100],"[-68, -66, -65]"
2,370,111,2412,2412,2412,"[-88, -81]",[-96],"[-38, -37]"
2,370,111,2412,2412,2417,"[-88, -81]",[-96],"[-30, -29, -28]"
2,370,111,2412,2412,2427,"[-88, -81]",[-96],[-45]
2,370,111,2412,2412,2437,"[-88, -81]",[-96],"[-70, -68]"
2,370,111,2412,2417,2412,"[-88, -81]",[-82],"[-38, -37]"
2,370,111,2412,2417,2417,"[-88, -81]",[-82],"[-30, -29, -28]"
2,370,111,2412,2417,2427,"[-88, -81]",[-82],[-45]
2,370,111,2412,2417,2437,"[-88, -81]",[-82],"[-70, -68]"
2,370,111,2417,2412,2412,[-83],[-96],"[-38, -37]"
2,370,111,2417,2412,2417,[-83],[-96],"[-30, -29, -28]"
2,370,111,2417,2412,2427,[-83],[-96],[-45]
2,370,111,2417,2412,2437,[-83],[-96],"[-70, -68]"
2,370,111,2417,2417,2412,[-83],[-82],"[-38, -37]"
2,370,111,2417,2417,2417,[-83],[-82],"[-30, -29, -28]"
2,370,111,2417,2417,2427,[-83],[-82],[-45]
2,370,111,2417,2417,2437,[-83],[-82],"[-70, -68]"
2,373,111,2412,2412,2412,"[-88, -86]","[-97, -96]","[-41, -38]"
2,373,111,2412,2412,2417,"[-88, -86]","[-97, -96]",[-30]
2,373,111,2412,2412,2427,"[-88, -86]","[-97, -96]",[-45]
2,373,111,2412,2412,2437,"[-88, -86]","[-97, -96]","[-74, -73, -69, -67, -66, -65]"
2,373,111,2412,2417,2412,"[-88, -86]",[-85],"[-41, -38]"
2,373,111,2412,2417,2417,"[-88, -86]",[-85],[-30]
2,373,111,2412,2417,2427,"[-88, -86]",[-85],[-45]
2,373,111,2412,2417,2437,"[-88, -86]",[-85],"[-74, -73, -69, -67, -66, -65]"
2,373,111,2417,2412,2412,"[-86, -82, -79, -76]","[-97, -96]","[-41, -38]"
2,373,111,2417,2412,2417,"[-86, -82, -79, -76]","[-97, -96]",[-30]
2,373,111,2417,2412,2427,"[-86, -82, -79, -76]","[-97, -96]",[-45]
2,373,111,2417,2412,2437,"[-86, -82, -79, -76]","[-97, -96]","[-74, -73, -69, -67, -66, -65]"
2,373,111,2417,2417,2412,"[-86, -82, -79, -76]",[-85],"[-41, -38]"
2,373,111,2417,2417,2417,"[-86, -82, -79, -76]",[-85],[-30]
2,373,111,2417,2417,2427,"[-86, -82, -79, -76]",[-85],[-45]
2,373,111,2417,2417,2437,"[-86, -82, -79, -76]",[-85],"[-74, -73, -69, -67, -66, -65]"
2,376,111,2412,0,2412,[-74],[100],"[-54, -53]"
2,376,111,2412,0,2417,[-74],[100],"[-54, -49]"
2,376,111,2412,0,2427,[-74],[100],"[-81, -68, -66, -64, -62, -61, -60, -58]"
2,376,111,2417,0,2412,"[-77, -76]",[100],"[-54, -53]"
2,376,111,2417,0,2417,"[-77, -76]",[100],"[-54, -49]"
2,376,111,2417,0,2427,"[-77, -76]",[100],"[-81, -68, -66, -64, -62, -61, -60, -58]"
