channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
2442.0,2447.0,2437.0,-67.0,-71.0,-91.0
2442.0,2442.0,2437.0,-65.0,-72.0,-89.0
2412.0,2412.0,2412.0,-92.0,-95.0,-71.0
2412.0,2412.0,2412.0,-91.0,-98.0,-72.0
2412.0,0.0,2422.0,-92.0,0.0,-76.0
0.0,0.0,2432.0,0.0,0.0,-75.0
2432.0,0.0,2432.0,-95.0,0.0,-66.0
2427.0,0.0,2437.0,-86.0,0.0,-75.0
0.0,0.0,2427.0,0.0,0.0,-78.0
2452.0,0.0,2452.0,-88.0,0.0,-77.0
0.0,0.0,2452.0,0.0,0.0,-82.0
0.0,0.0,2457.0,0.0,0.0,-76.0
2452.0,0.0,2452.0,-86.0,0.0,-74.0
2452.0,0.0,2452.0,-92.0,0.0,-64.0
2452.0,0.0,2452.0,-88.0,0.0,-76.0
2452.0,0.0,2452.0,-88.0,0.0,-65.0
0.0,0.0,2452.0,0.0,0.0,-60.0
2452.0,0.0,2457.0,-89.0,0.0,-72.0
2452.0,0.0,2452.0,-88.0,0.0,-73.0
2452.0,0.0,2452.0,-89.0,0.0,-71.0
0.0,0.0,2452.0,0.0,0.0,-71.0
2452.0,0.0,2452.0,-92.0,0.0,-68.0
2452.0,0.0,2452.0,-89.0,0.0,-74.0
2452.0,0.0,2452.0,-90.0,0.0,-66.0
2452.0,2452.0,2452.0,-91.0,-92.0,-62.0
2452.0,2452.0,2452.0,-89.0,-96.0,-76.0
0.0,0.0,2412.0,0.0,0.0,-71.0
0.0,0.0,2412.0,0.0,0.0,-68.0
0.0,0.0,2412.0,0.0,0.0,-67.0
2412.0,0.0,2412.0,-89.0,0.0,-66.0
2412.0,0.0,2412.0,-91.0,0.0,-68.0
2412.0,0.0,2412.0,-94.0,0.0,-75.0
0.0,0.0,2412.0,0.0,0.0,-68.0
2412.0,2412.0,2412.0,-87.0,-94.0,-66.0
2412.0,0.0,2412.0,-90.0,0.0,-62.0
0.0,0.0,2412.0,0.0,0.0,-63.0
0.0,0.0,2412.0,0.0,0.0,-62.0
2412.0,0.0,2412.0,-90.0,0.0,-61.0
0.0,0.0,2412.0,0.0,0.0,-71.0
0.0,0.0,2412.0,0.0,0.0,-70.0
2412.0,0.0,2412.0,-91.0,0.0,-63.0
0.0,0.0,2412.0,0.0,0.0,-71.0
2412.0,0.0,2412.0,-91.0,0.0,-76.0
2412.0,0.0,2412.0,-93.0,0.0,-71.0
0.0,0.0,2412.0,0.0,0.0,-72.0
2412.0,0.0,2417.0,-93.0,0.0,-68.0
2412.0,0.0,2412.0,-92.0,0.0,-68.0
2412.0,0.0,2412.0,-90.0,0.0,-67.0
2462.0,0.0,2457.0,-87.0,0.0,-69.0
2462.0,0.0,2457.0,-91.0,0.0,-70.0
0.0,0.0,2457.0,0.0,0.0,-72.0
2457.0,0.0,2457.0,-83.0,0.0,-74.0
2462.0,0.0,2457.0,-88.0,0.0,-65.0
2462.0,0.0,2457.0,-95.0,0.0,-58.0
2462.0,0.0,2457.0,-88.0,0.0,-69.0
0.0,0.0,2462.0,0.0,0.0,-69.0
2462.0,0.0,2457.0,-83.0,0.0,-65.0
2462.0,0.0,2457.0,-85.0,0.0,-73.0
2462.0,0.0,2452.0,-86.0,0.0,-71.0
0.0,0.0,2457.0,0.0,0.0,-64.0
2462.0,0.0,2457.0,-102.0,0.0,-73.0
2462.0,0.0,2457.0,-89.0,0.0,-74.0
0.0,0.0,2442.0,0.0,0.0,-66.0
0.0,0.0,2447.0,0.0,0.0,-69.0
0.0,0.0,2447.0,0.0,0.0,-63.0
0.0,0.0,2442.0,0.0,0.0,-68.0
2442.0,0.0,2452.0,-86.0,0.0,-74.0
0.0,2442.0,2457.0,0.0,-93.0,-82.0
0.0,0.0,2442.0,0.0,0.0,-66.0
0.0,0.0,2442.0,0.0,0.0,-68.0
0.0,0.0,2442.0,0.0,0.0,-68.0
0.0,0.0,2447.0,0.0,0.0,-70.0
0.0,0.0,2442.0,0.0,0.0,-66.0
2442.0,0.0,2452.0,-84.0,0.0,-79.0
0.0,0.0,2442.0,0.0,0.0,-72.0
