ssid,floorid,source,channel,signal_strength
2,370,cap2,2412,1
2,370,cap2,2417,1
2,370,cap3,2417,2
2,370,cap3,2437,2
2,373,cap1,2412,1
2,373,cap1,2417,3
2,373,cap2,2412,2
2,373,cap2,2417,1
2,373,cap3,2417,1
2,373,cap3,2437,4
2,376,cap1,2412,1
2,376,cap1,2417,2
2,376,cap3,2412,1
2,376,cap3,2417,1
2,376,cap3,2427,3
