timestamp,Realme_6Pro,RedmiNote_11,Vivo_Y21T
2024-04-11 15:56:53,,-78.0,
2024-04-11 15:56:54,,-78.0,
2024-04-11 15:56:56,,-78.0,
2024-04-11 15:56:57,,-78.0,
2024-04-11 15:57:02,,,-75.0
2024-04-11 15:57:03,,,-75.0
2024-04-11 15:57:04,,,-75.0
2024-04-11 15:57:06,,,-75.0
2024-04-11 15:57:07,-71.0,,
2024-04-11 15:57:08,-71.0,,
2024-04-11 15:57:10,-71.0,,
2024-04-11 15:57:11,-73.0,-78.0,
2024-04-11 15:57:12,,-78.0,
2024-04-11 15:57:14,,-78.0,
2024-04-11 15:57:15,-73.0,-78.0,-74.0
2024-04-11 15:57:16,,,-74.0
2024-04-11 15:57:17,,,-74.0
2024-04-11 15:57:19,,,-74.0
2024-04-11 15:57:20,,-78.0,
2024-04-11 15:57:21,-73.0,-78.0,
2024-04-11 15:57:22,-73.0,-78.0,
2024-04-11 15:57:24,,-78.0,
2024-04-11 15:57:25,,-78.0,
2024-04-11 15:57:26,,-78.0,
2024-04-11 15:57:27,,-78.0,
2024-04-11 15:57:36,,-78.0,-75.0
2024-04-11 15:57:37,,-78.0,
2024-04-11 15:57:38,,,-75.0
2024-04-11 15:57:39,,-78.0,-75.0
2024-04-11 15:57:40,,-78.0,
2024-04-11 15:57:41,,,-75.0
2024-04-11 15:57:48,-73.0,-78.0,
2024-04-11 15:57:49,,-78.0,
2024-04-11 15:57:51,,-78.0,
2024-04-11 15:57:52,-75.0,-77.0,
2024-04-11 15:57:56,-75.0,,-73.0
2024-04-11 15:57:58,-75.0,,-73.0
2024-04-11 15:57:59,-75.0,,-73.0
2024-04-11 15:58:00,-75.0,,-73.0
2024-04-11 15:58:01,-74.0,,
2024-04-11 15:58:02,-74.0,,
2024-04-11 15:58:05,-74.0,-78.0,
2024-04-11 15:58:06,-74.0,-78.0,
2024-04-11 15:58:07,,-78.0,
2024-04-11 15:58:09,-74.0,,-73.0
2024-04-11 15:58:12,-72.0,,
2024-04-11 15:58:15,-72.0,,
2024-04-11 15:58:16,-72.0,,
2024-04-11 15:58:25,,-78.0,
2024-04-11 15:58:26,,-78.0,
2024-04-11 15:58:28,,-78.0,
2024-04-11 15:58:29,,-78.0,
2024-04-11 15:58:30,,-78.0,
2024-04-11 15:58:32,,-78.0,
2024-04-11 15:58:33,,-78.0,
2024-04-11 15:58:34,,-78.0,
2024-04-11 15:58:36,-73.0,-78.0,-73.0
2024-04-11 15:58:37,-73.0,-78.0,
2024-04-11 15:58:38,-73.0,-78.0,
2024-04-11 15:58:39,-73.0,-78.0,
2024-04-11 15:58:42,,,-73.0
2024-04-11 15:58:43,,,-73.0
2024-04-11 15:58:59,-73.0,-78.0,-73.0
2024-04-11 15:59:00,-73.0,-78.0,
2024-04-11 15:59:02,-73.0,-78.0,
2024-04-11 15:59:03,-74.0,-78.0,
2024-04-11 15:59:04,,-78.0,
2024-04-11 15:59:05,,-78.0,
2024-04-11 15:59:07,-71.0,-78.0,-73.0
2024-04-11 15:59:09,,,-73.0
2024-04-11 15:59:11,,,-73.0
2024-04-11 15:59:12,,-77.0,-73.0
2024-04-11 15:59:13,,-77.0,-73.0
2024-04-11 15:59:14,,-77.0,-73.0
2024-04-11 15:59:16,,-79.0,
2024-04-11 15:59:17,,-79.0,
2024-04-11 15:59:18,,-79.0,
2024-04-11 15:59:20,,,-73.0
2024-04-11 15:59:21,,,-73.0
2024-04-11 15:59:22,,,-73.0
2024-04-11 15:59:24,-74.0,,
2024-04-11 15:59:31,,-78.0,
2024-04-11 15:59:32,,-78.0,
2024-04-11 15:59:34,,-78.0,
2024-04-11 15:59:35,,-78.0,
2024-04-11 15:59:36,-75.0,,
2024-04-11 15:59:39,-73.0,-77.0,-74.0
2024-04-11 15:59:40,,-77.0,-74.0
2024-04-11 15:59:42,,-77.0,-74.0
2024-04-11 15:59:43,,-77.0,-74.0
2024-04-11 15:59:44,,-78.0,-73.0
2024-04-11 15:59:45,,-78.0,-73.0
2024-04-11 15:59:47,,-78.0,-73.0
2024-04-11 15:59:48,,,-74.0
2024-04-11 15:59:49,,,-74.0
2024-04-11 15:59:51,,,-74.0
2024-04-11 15:59:52,,-78.0,
2024-04-11 15:59:53,-74.0,-78.0,-73.0
2024-04-11 15:59:54,,-78.0,
2024-04-11 15:59:56,,-79.0,-73.0
2024-04-11 15:59:57,,-79.0,
2024-04-11 15:59:58,,-79.0,
2024-04-11 15:59:59,,-79.0,
2024-04-11 16:00:01,,-79.0,
2024-04-11 16:00:02,,-79.0,
2024-04-11 16:00:03,,-79.0,
2024-04-11 16:00:13,-75.0,,
2024-04-11 16:00:15,-75.0,,
2024-04-11 16:00:16,-75.0,,
2024-04-11 16:00:33,-74.0,,-74.0
2024-04-11 16:00:37,-72.0,,
2024-04-11 16:00:41,,,-75.0
2024-04-11 16:00:50,,,-73.0
2024-04-11 16:00:51,,,-73.0
2024-04-11 16:00:52,,,-73.0
2024-04-11 16:00:54,,-78.0,
2024-04-11 16:00:55,,-78.0,
2024-04-11 16:00:56,,-78.0,
2024-04-11 16:00:57,,-78.0,
2024-04-11 16:01:03,-75.0,,
2024-04-11 16:01:17,,-74.0,
2024-04-11 16:01:18,,-74.0,
2024-04-11 16:01:20,,-74.0,
2024-04-11 16:01:21,-74.0,-79.0,-73.0
2024-04-11 16:01:26,-73.0,,
