timestamp,Realme_6Pro,RedmiNote_11,TechnoCamon_20,Vivo_Y21T
2024-04-11 15:58:00,,-57.0,,
2024-04-11 15:58:02,,-57.0,,
2024-04-11 15:58:09,,-60.0,,-64.0
2024-04-11 15:58:10,,-60.0,,-64.0
2024-04-11 15:58:11,,-60.0,,-64.0
2024-04-11 15:58:12,,-60.0,,-64.0
2024-04-11 15:58:22,-64.0,,,
2024-04-11 15:58:24,-64.0,,,
2024-04-11 15:58:25,-64.0,,,
2024-04-11 15:58:26,-67.0,,,
2024-04-11 15:58:28,-67.0,,,
2024-04-11 15:58:30,-67.0,,,
2024-04-11 15:58:32,-71.0,,-80.0,-69.0
2024-04-11 15:58:33,-71.0,,,-69.0
2024-04-11 15:58:34,-71.0,,,-69.0
2024-04-11 15:58:40,-64.0,,,
2024-04-11 15:58:41,-64.0,,,
2024-04-11 15:58:42,-64.0,,,
2024-04-11 15:58:43,-67.0,,-75.0,-66.0
2024-04-11 15:58:45,,,,-66.0
2024-04-11 15:58:46,,,,-66.0
2024-04-11 15:58:53,-61.0,,,
2024-04-11 15:58:54,-61.0,,,
2024-04-11 15:58:58,-66.0,-55.0,,
2024-04-11 15:58:59,-66.0,-55.0,,
2024-04-11 15:59:07,-63.0,,,
2024-04-11 15:59:08,-63.0,,,
2024-04-11 15:59:11,-59.0,,,
2024-04-11 15:59:12,-59.0,,,
2024-04-11 15:59:14,,,-71.0,
2024-04-11 15:59:16,,,-71.0,
2024-04-11 15:59:21,,,,-66.0
2024-04-11 15:59:22,,,,-66.0
2024-04-11 15:59:37,-62.0,,,-67.0
2024-04-11 15:59:38,-62.0,,,-67.0
2024-04-11 15:59:40,,,-71.0,
2024-04-11 15:59:44,,-56.0,,
2024-04-11 15:59:45,,-56.0,,
2024-04-11 15:59:47,,-56.0,,
2024-04-11 15:59:48,,-56.0,,
2024-04-11 16:00:02,,,,-68.0
2024-04-11 16:00:03,,,,-68.0
2024-04-11 16:00:04,,,,-68.0
2024-04-11 16:00:16,-62.0,,,
2024-04-11 16:00:17,-62.0,,,
2024-04-11 16:00:20,-70.0,,,-65.0
2024-04-11 16:00:21,-70.0,,,-65.0
2024-04-11 16:00:24,-65.0,,,
2024-04-11 16:00:26,-65.0,,,
2024-04-11 16:00:27,,,-77.0,
2024-04-11 16:00:33,,,,-67.0
2024-04-11 16:00:34,,,,-67.0
2024-04-11 16:00:46,,-58.0,,
2024-04-11 16:00:51,,-57.0,,
2024-04-11 16:00:52,,-57.0,,
2024-04-11 16:01:00,,,-82.0,
2024-04-11 16:01:11,-62.0,,,
2024-04-11 16:01:12,-62.0,,,
2024-04-11 16:01:13,,,,-67.0
2024-04-11 16:01:15,,,,-67.0
2024-04-11 16:01:16,,,,-67.0
2024-04-11 16:01:17,,-55.0,,
2024-04-11 16:01:39,-64.0,,,
2024-04-11 16:01:41,-64.0,,,
2024-04-11 16:01:42,-64.0,,,
2024-04-11 16:01:43,-66.0,,,
2024-04-11 16:01:45,-66.0,,,
2024-04-11 16:01:46,-66.0,,,
2024-04-11 16:01:47,-66.0,,,
2024-04-11 16:01:50,,,-80.0,
2024-04-11 16:02:08,,,,-68.0
2024-04-11 16:02:09,,,,-68.0
2024-04-11 16:02:10,,,,-68.0
2024-04-11 16:02:13,,,,-69.0
2024-04-11 16:02:14,,,,-69.0
2024-04-11 16:02:16,,,,-69.0
2024-04-11 16:02:17,,,-72.0,
2024-04-11 16:02:23,,,,-69.0
2024-04-11 16:02:24,,,,-69.0
2024-04-11 16:02:30,,,-78.0,
2024-04-11 16:02:39,-59.0,-53.0,,
2024-04-11 16:02:40,-59.0,,,
2024-04-11 16:02:42,-59.0,,,
2024-04-11 16:02:44,,,,-68.0
2024-04-11 16:02:47,,,,-68.0
2024-04-11 16:02:48,-65.0,,-81.0,
2024-04-11 16:02:49,-65.0,,,
2024-04-11 16:02:52,,,-80.0,
2024-04-11 16:02:59,-64.0,,,
2024-04-11 16:03:00,-64.0,,,
2024-04-11 16:03:08,,-55.0,,
