timestamp,Realme_6Pro,RedmiNote_11,TechnoCamon_20,Vivo_Y21T,Xiaomipoco_X3
2024-04-11 15:57:36,-70.0,-63.0,,-83.0,
2024-04-11 15:57:39,,-63.0,,,
2024-04-11 15:57:40,,-63.0,,,
2024-04-11 15:57:43,,-63.0,,,-76.0
2024-04-11 15:57:44,,-63.0,,,
2024-04-11 15:57:46,,-63.0,,,
2024-04-11 15:57:47,-80.0,-64.0,,,
2024-04-11 15:57:48,-80.0,-64.0,,,
2024-04-11 15:57:49,-80.0,-64.0,,,
2024-04-11 15:57:51,,-62.0,,,
2024-04-11 15:57:52,,-62.0,,,
2024-04-11 15:57:53,,-62.0,,,
2024-04-11 15:57:56,,,,-79.0,
2024-04-11 15:57:57,,,,-79.0,
2024-04-11 15:58:05,,-66.0,,,
2024-04-11 15:58:06,,-66.0,,,
2024-04-11 15:58:09,,-66.0,,,
2024-04-11 15:58:19,,-64.0,,,
2024-04-11 15:58:21,,-64.0,,,
2024-04-11 15:58:26,,-67.0,,,-75.0
2024-04-11 15:58:28,,-67.0,,,
2024-04-11 15:58:30,,-67.0,,,
2024-04-11 15:58:32,,-63.0,,,
2024-04-11 15:58:33,,-63.0,,,
2024-04-11 15:58:34,,-63.0,,,
2024-04-11 15:58:36,,-63.0,,,
2024-04-11 15:58:37,,-63.0,,,
2024-04-11 15:58:40,,-64.0,,,
2024-04-11 15:58:41,,-64.0,,,
2024-04-11 15:58:42,,-64.0,,,
2024-04-11 15:58:45,-78.0,-63.0,,,
2024-04-11 15:58:46,-78.0,-63.0,,,
2024-04-11 15:58:53,,-65.0,,,-71.0
2024-04-11 15:58:54,,-65.0,,,
2024-04-11 15:59:00,-86.0,,,,
2024-04-11 15:59:02,-86.0,,,,
2024-04-11 15:59:03,-86.0,,,,
2024-04-11 15:59:07,,-65.0,,,
2024-04-11 15:59:08,,-65.0,,,
2024-04-11 15:59:11,,-67.0,,,
2024-04-11 15:59:12,,-67.0,,,
2024-04-11 15:59:14,,,,,-77.0
2024-04-11 15:59:16,-70.0,-70.0,,,
2024-04-11 15:59:17,-70.0,-70.0,,,
2024-04-11 15:59:18,-70.0,-70.0,,,
2024-04-11 15:59:25,,-66.0,,,-81.0
2024-04-11 15:59:26,,-66.0,,,
2024-04-11 15:59:27,,-66.0,,,
2024-04-11 15:59:29,,-66.0,,,
2024-04-11 15:59:30,-84.0,-68.0,-61.0,-80.0,-79.0
2024-04-11 15:59:31,-84.0,-68.0,,-80.0,
2024-04-11 15:59:33,,-68.0,,,
2024-04-11 15:59:34,-84.0,-68.0,,-80.0,
2024-04-11 15:59:37,,-65.0,,,
2024-04-11 15:59:38,,-65.0,,,
2024-04-11 15:59:40,,,,,-73.0
2024-04-11 15:59:45,-75.0,,,-75.0,-77.0
2024-04-11 15:59:47,-75.0,,,-75.0,
2024-04-11 15:59:48,-75.0,,,-75.0,
2024-04-11 15:59:56,-75.0,-62.0,,,
2024-04-11 15:59:57,-75.0,-62.0,,,
2024-04-11 15:59:58,-75.0,-62.0,,,
2024-04-11 16:00:00,-75.0,-62.0,,,
2024-04-11 16:00:02,,-64.0,,,-80.0
2024-04-11 16:00:03,,-64.0,,,
2024-04-11 16:00:04,,-64.0,,,
2024-04-11 16:00:11,,,,,-77.0
2024-04-11 16:00:16,,-64.0,,-79.0,
2024-04-11 16:00:17,,-64.0,,-79.0,
2024-04-11 16:00:20,,-64.0,,,
2024-04-11 16:00:21,,-64.0,,,
2024-04-11 16:00:24,,-75.0,,-77.0,
2024-04-11 16:00:25,,-75.0,,,
2024-04-11 16:00:26,,,,-77.0,
2024-04-11 16:00:29,,-67.0,,,
2024-04-11 16:00:30,,-67.0,,,
2024-04-11 16:00:33,-83.0,-68.0,,,
2024-04-11 16:00:34,-83.0,-68.0,,,
2024-04-11 16:00:38,-77.0,-69.0,,-76.0,
2024-04-11 16:00:41,,,,-76.0,
2024-04-11 16:00:42,,-70.0,,,
2024-04-11 16:00:43,,-70.0,,,
2024-04-11 16:00:45,,-70.0,,,
2024-04-11 16:00:47,,-63.0,,,
2024-04-11 16:00:48,,-63.0,,,
2024-04-11 16:00:50,,-63.0,,,
2024-04-11 16:00:51,,,-58.0,,
2024-04-11 16:00:52,,,,-76.0,
2024-04-11 16:00:54,,,,-76.0,
2024-04-11 16:01:01,,-66.0,,,
2024-04-11 16:01:04,,-66.0,,,
2024-04-11 16:01:11,,-65.0,,,
2024-04-11 16:01:12,,-65.0,,,
2024-04-11 16:01:15,-72.0,-65.0,,,
2024-04-11 16:01:16,-72.0,-65.0,,,
2024-04-11 16:01:19,,-64.0,,,
2024-04-11 16:01:20,,-64.0,,,
2024-04-11 16:01:22,,-60.0,-54.0,-77.0,
2024-04-11 16:01:24,,-60.0,,-77.0,
2024-04-11 16:01:25,,-60.0,,-77.0,
2024-04-11 16:01:28,,-66.0,,,
2024-04-11 16:01:30,,-66.0,,,
2024-04-11 16:01:32,,-66.0,,,
2024-04-11 16:01:33,-71.0,-66.0,,,
2024-04-11 16:01:34,-71.0,-66.0,,,
2024-04-11 16:01:37,,-66.0,,-91.0,
2024-04-11 16:01:38,,-66.0,,-91.0,
2024-04-11 16:01:41,,-65.0,,,
2024-04-11 16:01:42,,-65.0,,,
2024-04-11 16:01:45,,-72.0,,,
2024-04-11 16:01:46,,-72.0,,,
2024-04-11 16:01:47,,-72.0,,,
2024-04-11 16:01:50,,,,,-76.0
2024-04-11 16:01:55,,,,-83.0,
2024-04-11 16:01:57,,,,-83.0,
2024-04-11 16:02:00,,-66.0,,,
2024-04-11 16:02:01,,-66.0,,,
2024-04-11 16:02:04,,,-60.0,,-80.0
2024-04-11 16:02:08,-74.0,-64.0,-58.0,,
2024-04-11 16:02:09,-74.0,-64.0,,,
2024-04-11 16:02:10,-74.0,-64.0,,,
2024-04-11 16:02:13,,-66.0,,,
2024-04-11 16:02:14,,-66.0,,,
2024-04-11 16:02:16,,-66.0,,,
2024-04-11 16:02:18,,-65.0,,,
2024-04-11 16:02:19,,-65.0,,,
2024-04-11 16:02:21,,-65.0,,,
2024-04-11 16:02:23,-77.0,-65.0,,,
2024-04-11 16:02:24,-77.0,-65.0,,,
2024-04-11 16:02:27,-74.0,-69.0,,,
2024-04-11 16:02:28,-74.0,-69.0,,,
2024-04-11 16:02:31,,-63.0,,,
2024-04-11 16:02:32,,-63.0,,,
2024-04-11 16:02:34,,-63.0,,,
2024-04-11 16:02:35,-93.0,-66.0,-60.0,,
2024-04-11 16:02:36,-93.0,-66.0,,,
2024-04-11 16:02:38,,-66.0,,,
2024-04-11 16:02:40,,-73.0,,,
2024-04-11 16:02:42,,-73.0,,,
2024-04-11 16:02:44,,,-59.0,,-77.0
2024-04-11 16:02:48,,-64.0,,,
2024-04-11 16:02:49,,-64.0,,,
2024-04-11 16:02:51,,-64.0,,,
2024-04-11 16:02:53,,-66.0,,-74.0,-80.0
2024-04-11 16:02:55,,-66.0,,-74.0,
2024-04-11 16:02:56,,-66.0,,-74.0,
2024-04-11 16:02:59,,,,-84.0,
2024-04-11 16:03:00,,,,-84.0,
2024-04-11 16:03:03,,-69.0,-62.0,,
2024-04-11 16:03:04,,-69.0,,,
2024-04-11 16:03:05,,-69.0,,,
2024-04-11 16:03:08,-77.0,,,-80.0,
2024-04-11 16:03:09,-77.0,,,-80.0,
2024-04-11 16:03:12,-68.0,,,,
2024-04-11 16:03:13,-68.0,,,,
2024-04-11 16:03:14,-68.0,,,,
2024-04-11 16:03:17,-70.0,-62.0,,,
2024-04-11 16:03:18,-70.0,-62.0,,,
2024-04-11 16:03:28,,-73.0,,,-77.0
2024-04-11 16:03:30,,-73.0,,,
2024-04-11 16:03:31,,-73.0,,,
2024-04-11 16:03:34,,-59.0,,,-79.0
2024-04-11 16:03:35,,-59.0,,,
2024-04-11 16:03:36,,-59.0,,,
2024-04-11 16:03:39,-79.0,-69.0,,,
2024-04-11 16:03:40,-79.0,-69.0,,,
2024-04-11 16:03:42,,-70.0,,,-79.0
2024-04-11 16:03:43,,-70.0,,,
2024-04-11 16:03:44,,-70.0,,,
2024-04-11 16:03:48,,-66.0,,,
2024-04-11 16:03:50,,-66.0,,,
2024-04-11 16:04:00,,-68.0,,-80.0,
2024-04-11 16:04:01,,-68.0,,-80.0,
2024-04-11 16:04:03,,-68.0,,-80.0,
2024-04-11 16:04:04,,-59.0,,-81.0,-78.0
2024-04-11 16:04:05,,-59.0,,,
2024-04-11 16:04:07,,-59.0,,-81.0,
2024-04-11 16:04:13,-75.0,-62.0,,-81.0,
2024-04-11 16:04:15,-75.0,-62.0,,-81.0,
2024-04-11 16:04:18,,,,-77.0,
2024-04-11 16:04:21,,-74.0,,,-86.0
2024-04-11 16:04:22,,-74.0,,,
2024-04-11 16:04:25,,-61.0,,,
2024-04-11 16:04:26,,-61.0,,,
2024-04-11 16:04:29,,-72.0,,,
2024-04-11 16:04:30,,-72.0,,,
2024-04-11 16:04:37,,-68.0,,,
2024-04-11 16:04:38,,-68.0,,,
2024-04-11 16:04:39,,-68.0,,,
2024-04-11 16:04:41,-74.0,-66.0,,,-80.0
2024-04-11 16:04:42,-74.0,-66.0,,,
2024-04-11 16:04:43,-74.0,-66.0,,,
2024-04-11 16:04:45,,,,-74.0,
2024-04-11 16:04:46,,-71.0,,-74.0,
2024-04-11 16:04:47,,-71.0,,,
2024-04-11 16:04:48,,-71.0,,-74.0,
2024-04-11 16:04:54,-74.0,,,,-74.0
2024-04-11 16:04:55,-74.0,,,,
2024-04-11 16:05:06,-88.0,,,,
2024-04-11 16:05:07,-88.0,,,,
2024-04-11 16:05:10,,-58.0,,,
2024-04-11 16:05:11,,-58.0,,,
2024-04-11 16:05:17,,-66.0,,,-80.0
2024-04-11 16:05:18,,-66.0,,,
2024-04-11 16:05:21,,-63.0,,-75.0,
2024-04-11 16:05:23,,-63.0,,-75.0,
2024-04-11 16:05:24,,-63.0,,-75.0,
2024-04-11 16:05:25,,-63.0,,,-86.0
2024-04-11 16:05:27,,-63.0,,,
2024-04-11 16:05:28,,-63.0,,,
2024-04-11 16:05:29,,-69.0,,,
2024-04-11 16:05:31,,-69.0,,,
2024-04-11 16:05:32,,-69.0,,,
2024-04-11 16:05:35,,,,-80.0,
2024-04-11 16:05:36,,-65.0,,-80.0,
2024-04-11 16:05:38,,-66.0,,,
2024-04-11 16:05:40,,-66.0,,,
2024-04-11 16:05:46,,-65.0,,,
2024-04-11 16:05:48,,-65.0,,,
2024-04-11 16:05:50,,-61.0,,,
2024-04-11 16:05:52,,-61.0,,,
2024-04-11 16:05:54,,-65.0,,-79.0,
2024-04-11 16:05:56,,-65.0,,-79.0,
2024-04-11 16:06:02,-77.0,-75.0,,-78.0,
2024-04-11 16:06:04,-77.0,-75.0,,-78.0,
2024-04-11 16:06:06,,-66.0,,-77.0,
2024-04-11 16:06:08,,-66.0,,-77.0,
2024-04-11 16:06:18,,,,,-75.0
2024-04-11 16:06:38,,-73.0,,,-82.0
2024-04-11 16:06:40,,-73.0,,,
2024-04-11 16:06:41,,-73.0,,,
2024-04-11 16:06:49,,-74.0,,,
2024-04-11 16:06:50,,-74.0,,,
2024-04-11 16:06:58,,-65.0,,-79.0,
2024-04-11 16:07:00,,-65.0,,-79.0,
2024-04-11 16:07:05,,,,-77.0,
2024-04-11 16:07:06,,,,-77.0,
2024-04-11 16:07:08,,,,,-77.0
2024-04-11 16:07:28,,-63.0,,,
2024-04-11 16:07:29,,-63.0,,,
2024-04-11 16:07:36,,,,,-79.0
2024-04-11 16:07:40,,-65.0,,,
2024-04-11 16:07:41,,-65.0,,,
2024-04-11 16:07:42,,-65.0,,,
2024-04-11 16:07:50,,-63.0,,,
2024-04-11 16:07:51,,-63.0,,,
2024-04-11 16:07:53,,-63.0,,,
2024-04-11 16:07:56,-72.0,-59.0,,-75.0,-72.0
2024-04-11 16:07:57,-72.0,-59.0,,-75.0,
2024-04-11 16:07:58,-72.0,-59.0,,-75.0,
2024-04-11 16:08:01,-80.0,-62.0,,-81.0,
2024-04-11 16:08:02,-80.0,-62.0,,-81.0,
2024-04-11 16:08:04,-80.0,-62.0,,-81.0,
2024-04-11 16:08:06,,-63.0,,-78.0,
2024-04-11 16:08:08,,-63.0,,-78.0,
2024-04-11 16:08:10,,-62.0,,,
2024-04-11 16:08:12,,-62.0,,,
2024-04-11 16:08:14,,-64.0,-60.0,,-73.0
2024-04-11 16:08:15,,-64.0,,,
2024-04-11 16:08:17,,-64.0,,,
2024-04-11 16:08:18,-76.0,,,,
2024-04-11 16:08:19,-76.0,,,,
2024-04-11 16:08:21,-76.0,,,,
2024-04-11 16:08:23,,-66.0,,,
2024-04-11 16:08:25,,-66.0,,,
2024-04-11 16:08:26,,-66.0,,,
2024-04-11 16:08:29,,-72.0,,,
2024-04-11 16:08:30,,-72.0,,,
2024-04-11 16:08:33,,-70.0,,,
2024-04-11 16:08:34,,-70.0,,,
2024-04-11 16:08:37,,-71.0,,,
2024-04-11 16:08:44,,-62.0,,,
2024-04-11 16:08:46,,-62.0,,,
2024-04-11 16:08:48,,,,,-80.0
2024-04-11 16:08:49,,,,-78.0,
2024-04-11 16:08:50,,,,-78.0,
2024-04-11 16:08:51,,,,-78.0,
2024-04-11 16:08:57,,-64.0,,,-73.0
2024-04-11 16:08:58,,-64.0,,,
2024-04-11 16:08:59,,-64.0,,,
