timestamp,Realme_6Pro,RedmiNote_11,Vivo_Y21T
2024-04-11 15:52:53,-58.0,,
2024-04-11 15:52:55,-58.0,-52.0,
2024-04-11 15:52:56,-60.0,-52.0,-67.0
2024-04-11 15:52:59,,,-67.0
2024-04-11 15:53:00,,,-67.0
2024-04-11 15:53:02,,,-67.0
2024-04-11 15:53:03,-67.0,-57.0,-67.0
2024-04-11 15:53:04,,-57.0,
2024-04-11 15:53:06,,-57.0,
2024-04-11 15:53:07,-62.0,-59.0,
2024-04-11 15:53:10,-62.0,,
2024-04-11 15:53:11,-62.0,,
2024-04-11 15:53:18,-58.0,,
2024-04-11 15:53:20,-58.0,,
2024-04-11 15:53:27,-74.0,-60.0,-62.0
2024-04-11 15:53:32,-59.0,-52.0,-67.0
2024-04-11 15:53:34,-59.0,,-67.0
2024-04-11 15:53:36,-58.0,-48.0,-58.0
2024-04-11 15:53:38,,,-58.0
2024-04-11 15:53:39,,,-58.0
2024-04-11 15:53:42,-58.0,,-74.0
2024-04-11 15:53:43,,,-74.0
2024-04-11 15:53:45,,-56.0,
2024-04-11 15:53:50,,-51.0,
2024-04-11 15:53:52,,-51.0,
2024-04-11 15:53:53,,-51.0,
2024-04-11 15:53:54,-56.0,,-60.0
2024-04-11 15:53:56,-56.0,,-60.0
2024-04-11 15:53:58,-57.0,-62.0,-63.0
2024-04-11 15:53:59,-57.0,,-63.0
2024-04-11 15:54:00,-57.0,,-63.0
2024-04-11 15:54:01,-57.0,,-63.0
2024-04-11 15:54:03,,-59.0,-66.0
2024-04-11 15:54:04,,-59.0,-66.0
2024-04-11 15:54:05,,-59.0,
2024-04-11 15:54:06,,,-66.0
2024-04-11 15:54:07,-60.0,,-66.0
2024-04-11 15:54:08,,,-66.0
2024-04-11 15:54:10,,,-66.0
2024-04-11 15:54:12,-61.0,,-71.0
2024-04-11 15:54:14,-61.0,,-71.0
2024-04-11 15:54:16,-61.0,,-71.0
2024-04-11 15:54:17,,-50.0,-65.0
2024-04-11 15:54:18,,-50.0,-65.0
2024-04-11 15:54:19,,-50.0,
2024-04-11 15:54:21,,-50.0,-65.0
2024-04-11 15:54:22,-58.0,-55.0,-62.0
2024-04-11 15:54:25,-58.0,-55.0,-62.0
2024-04-11 15:54:32,-61.0,-51.0,-63.0
2024-04-11 15:54:34,-61.0,,-63.0
2024-04-11 15:54:35,-61.0,,-63.0
2024-04-11 15:54:40,-58.0,-58.0,
2024-04-11 15:54:43,-58.0,,
2024-04-11 15:54:44,-58.0,,
2024-04-11 15:54:45,,,-66.0
2024-04-11 15:54:47,,,-66.0
2024-04-11 15:54:49,,,-66.0
2024-04-11 15:54:50,,,-65.0
2024-04-11 15:54:53,,-51.0,-65.0
2024-04-11 15:54:54,,,-63.0
2024-04-11 15:54:56,,,-63.0
2024-04-11 15:54:57,,,-63.0
2024-04-11 15:55:03,-65.0,,
2024-04-11 15:55:05,-65.0,,
2024-04-11 15:55:06,-65.0,,
2024-04-11 15:55:10,,,-61.0
2024-04-11 15:55:11,,,-61.0
2024-04-11 15:55:12,,,-61.0
2024-04-11 15:55:14,-55.0,-52.0,-67.0
2024-04-11 15:55:15,-55.0,,
2024-04-11 15:55:16,-55.0,,-67.0
2024-04-11 15:55:18,-63.0,-48.0,-59.0
2024-04-11 15:55:20,,-48.0,-59.0
2024-04-11 15:55:27,-65.0,-50.0,-64.0
2024-04-11 15:55:32,,-50.0,
2024-04-11 15:55:33,,-50.0,-69.0
2024-04-11 15:55:34,,-50.0,
2024-04-11 15:55:39,-67.0,,-69.0
2024-04-11 15:55:40,,,-69.0
2024-04-11 15:55:43,,,-69.0
2024-04-11 15:55:44,,,-63.0
2024-04-11 15:55:47,-61.0,-58.0,-61.5
2024-04-11 15:55:48,,,-60.0
2024-04-11 15:55:49,,,-60.0
2024-04-11 15:55:51,,,-60.0
2024-04-11 15:55:53,-72.0,-47.0,-60.0
2024-04-11 15:55:55,-72.0,-47.0,-60.0
2024-04-11 15:55:56,-72.0,,
2024-04-11 15:55:57,-59.0,,-59.0
2024-04-11 15:55:58,-59.0,,
2024-04-11 15:56:00,-59.0,,-59.0
2024-04-11 15:56:01,-59.0,,
2024-04-11 15:56:04,-59.0,,
2024-04-11 15:56:05,-55.0,,-68.0
2024-04-11 15:56:06,-55.0,,-68.0
2024-04-11 15:56:08,-55.0,,-68.0
2024-04-11 15:56:10,-70.0,-51.0,-61.0
2024-04-11 15:56:11,-70.0,-51.0,-61.0
