"mac_address","ssid","channel","source","signal_strength","floorid","timestamp"
"FE:47:AD:D7:13:E2","C1","2442","cap1","-76","68","2023-11-16 13:52:03"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-75","68","2023-11-16 13:52:03"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-77","59","2023-11-16 13:53:54"
"6A:D2:19:82:06:D2","C2","2412","cap2","-55","59","2023-11-16 13:53:56"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-51","59","2023-11-16 13:53:56"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-59","59","2023-11-16 13:53:56"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-77","59","2023-11-16 13:54:18"
"AA:3A:2F:0C:11:A6","C11","2462","cap1","-73","59","2023-11-16 13:54:18"
"6A:D2:19:82:06:D2","C2","2417","cap1","-78","59","2023-11-16 13:54:18"
"6A:D2:19:82:06:D2","C2","2417","cap2","-56","59","2023-11-16 13:54:20"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-62","59","2023-11-16 13:54:20"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-61","59","2023-11-16 13:54:20"
"6A:D2:19:82:06:D2","C2","2427","cap2","-74","59","2023-11-16 13:54:36"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-59","59","2023-11-16 13:54:36"
"AA:3A:2F:0C:11:A6","C11","2457","cap2","-60","59","2023-11-16 13:54:36"
"6A:D2:19:82:06:D2","C2","2417","cap1","-75","59","2023-11-16 13:54:42"
"AA:3A:2F:0C:11:A6","C11","2462","cap1","-81","59","2023-11-16 13:54:42"
"FE:47:AD:D7:13:E2","C1","2432","cap1","-73","59","2023-11-16 13:54:42"
"6A:D2:19:82:06:D2","C2","2417","cap2","-54","59","2023-11-16 13:55:02"
"FE:47:AD:D7:13:E2","C1","2437","cap2","-47","59","2023-11-16 13:55:02"
"AA:3A:2F:0C:11:A6","C11","2452","cap2","-63","59","2023-11-16 13:55:02"
"6A:D2:19:82:06:D2","C2","2412","cap1","-86","59","2023-11-16 13:55:08"
"6A:D2:19:82:06:D2","C2","2412","cap2","-57","59","2023-11-16 13:55:27"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-62","59","2023-11-16 13:55:27"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-62","59","2023-11-16 13:55:27"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-76","59","2023-11-16 13:55:34"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-83","59","2023-11-16 13:55:34"
"6A:D2:19:82:06:D2","C2","2412","cap2","-58","59","2023-11-16 13:55:53"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-67","59","2023-11-16 13:55:53"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-61","59","2023-11-16 13:55:53"
"6A:D2:19:82:06:D2","C2","2412","cap1","-88","59","2023-11-16 13:55:59"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-80","59","2023-11-16 13:55:59"
"6A:D2:19:82:06:D2","C2","2422","cap2","-54","59","2023-11-16 13:56:19"
"FE:47:AD:D7:13:E2","C1","2442","cap2","-50","59","2023-11-16 13:56:19"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-66","59","2023-11-16 13:56:19"
"FE:47:AD:D7:13:E2","C1","2442","cap1","-74","59","2023-11-16 13:56:24"
"6A:D2:19:82:06:D2","C2","2417","cap2","-52","59","2023-11-16 13:56:38"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-54","59","2023-11-16 13:56:38"
"AA:3A:2F:0C:11:A6","C11","2457","cap2","-56","59","2023-11-16 13:56:38"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-76","59","2023-11-16 13:56:50"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-90","59","2023-11-16 13:56:50"
"6A:D2:19:82:06:D2","C2","2412","cap2","-56","59","2023-11-16 13:57:03"
"FE:47:AD:D7:13:E2","C1","2432","cap2","-49","59","2023-11-16 13:57:03"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-63","59","2023-11-16 13:57:03"
"6A:D2:19:82:06:D2","C2","2417","cap2","-45","50","2023-11-16 13:58:38"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-70","50","2023-11-16 13:58:38"
"AA:3A:2F:0C:11:A6","C11","2457","cap2","-50","50","2023-11-16 13:58:38"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-72","50","2023-11-16 13:58:38"
"6A:D2:19:82:06:D2","C2","2422","cap1","-80","50","2023-11-16 13:58:57"
"6A:D2:19:82:06:D2","C2","2427","cap2","-64","50","2023-11-16 13:59:05"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-58","50","2023-11-16 13:59:05"
"AA:3A:2F:0C:11:A6","C11","2452","cap2","-51","50","2023-11-16 13:59:05"
"6A:D2:19:82:06:D2","C2","2422","cap1","-83","50","2023-11-16 13:59:16"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-77","50","2023-11-16 13:59:16"
"6A:D2:19:82:06:D2","C2","2422","cap2","-58","50","2023-11-16 13:59:31"
"FE:47:AD:D7:13:E2","C1","2442","cap2","-51","50","2023-11-16 13:59:31"
"AA:3A:2F:0C:11:A6","C11","2452","cap2","-54","50","2023-11-16 13:59:31"
"6A:D2:19:82:06:D2","C2","2417","cap1","-77","50","2023-11-16 13:59:33"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-73","50","2023-11-16 13:59:33"
"6A:D2:19:82:06:D2","C2","2417","cap2","-51","50","2023-11-16 13:59:51"
"FE:47:AD:D7:13:E2","C1","2442","cap2","-57","50","2023-11-16 13:59:51"
"AA:3A:2F:0C:11:A6","C11","2457","cap2","-57","50","2023-11-16 13:59:51"
"6A:D2:19:82:06:D2","C2","2412","cap1","-84","50","2023-11-16 13:59:59"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-79","50","2023-11-16 13:59:59"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-75","50","2023-11-16 13:59:59"
"6A:D2:19:82:06:D2","C2","2417","cap2","-56","50","2023-11-16 14:00:15"
"FE:47:AD:D7:13:E2","C1","2437","cap2","-51","50","2023-11-16 14:00:15"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-62","50","2023-11-16 14:00:15"
"AA:3A:2F:0C:11:A6","C11","2462","cap1","-87","50","2023-11-16 14:00:26"
"6A:D2:19:82:06:D2","C2","2417","cap2","-53","50","2023-11-16 14:00:40"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-61","50","2023-11-16 14:00:40"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-53","50","2023-11-16 14:00:40"
"FE:47:AD:D7:13:E2","C1","2442","cap1","-75","50","2023-11-16 14:00:50"
"AA:3A:2F:0C:11:A6","C11","2462","cap1","-77","50","2023-11-16 14:00:50"
"6A:D2:19:82:06:D2","C2","2422","cap2","-57","50","2023-11-16 14:01:06"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-62","50","2023-11-16 14:01:06"
"AA:3A:2F:0C:11:A6","C11","2457","cap2","-51","50","2023-11-16 14:01:06"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-85","50","2023-11-16 14:01:14"
"6A:D2:19:82:06:D2","C2","2412","cap1","-83","50","2023-11-16 14:01:14"
"6A:D2:19:82:06:D2","C2","2412","cap2","-61","50","2023-11-16 14:01:32"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-48","50","2023-11-16 14:01:32"
"AA:3A:2F:0C:11:A6","C11","2457","cap2","-71","50","2023-11-16 14:01:32"
"6A:D2:19:82:06:D2","C2","2417","cap1","-76","50","2023-11-16 14:01:39"
"FE:47:AD:D7:13:E2","C1","2432","cap1","-78","50","2023-11-16 14:01:39"
"6A:D2:19:82:06:D2","C2","2412","cap2","-59","50","2023-11-16 14:01:50"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-62","50","2023-11-16 14:01:50"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-48","50","2023-11-16 14:01:50"
"6A:D2:19:82:06:D2","C2","2412","cap1","-82","41","2023-11-16 14:03:42"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-76","41","2023-11-16 14:03:42"
"6A:D2:19:82:06:D2","C2","2412","cap2","-60","41","2023-11-16 14:03:44"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-54","41","2023-11-16 14:03:44"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-59","41","2023-11-16 14:03:44"
"6A:D2:19:82:06:D2","C2","2412","cap2","-56","41","2023-11-16 14:04:08"
