"mac_address","ssid","signal_strength","source","channel","floorid","timestamp"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-73","139","2023-11-10 16:32:30"
"02:9D:2F:8D:49:90","C6","2417","cap2","-66","139","2023-11-10 16:32:30"
"52:39:94:90:76:D2","C10","2417","cap2","-80","139","2023-11-10 16:32:30"
"56:3A:A2:F8:0C:63","C3","2437","cap2","-76","139","2023-11-10 16:32:30"
"F6:CE:87:F2:06:21","C5","2422","cap1","-56","139","2023-11-10 16:32:48"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-58","139","2023-11-10 16:32:48"
"52:39:94:90:76:D2","C10","2417","cap1","-51","139","2023-11-10 16:32:48"
"02:9D:2F:8D:49:90","C6","2417","cap1","-56","139","2023-11-10 16:32:48"
"F6:CE:87:F2:06:21","C5","2412","cap2","-72","139","2023-11-10 16:32:48"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-79","139","2023-11-10 16:32:48"
"52:39:94:90:76:D2","C10","2427","cap2","-78","139","2023-11-10 16:32:48"
"02:9D:2F:8D:49:90","C6","2422","cap2","-70","139","2023-11-10 16:32:48"
"7A:6B:C2:5A:7B:88","C8","2437","cap2","-70","139","2023-11-10 16:32:48"
"F6:CE:87:F2:06:21","C5","2412","cap3","-91","139","2023-11-10 16:32:49"
"1E:03:B6:E0:9E:3C","C2","2437","cap3","-88","139","2023-11-10 16:32:49"
"02:9D:2F:8D:49:90","C6","2422","cap1","-54","139","2023-11-10 16:33:05"
"F6:CE:87:F2:06:21","C5","2417","cap1","-55","139","2023-11-10 16:33:05"
"52:39:94:90:76:D2","C10","2427","cap1","-65","139","2023-11-10 16:33:05"
"56:3A:A2:F8:0C:63","C3","2442","cap1","-58","139","2023-11-10 16:33:05"
"02:9D:2F:8D:49:90","C6","2422","cap2","-73","139","2023-11-10 16:33:05"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-65","139","2023-11-10 16:33:05"
"52:39:94:90:76:D2","C10","2417","cap2","-80","139","2023-11-10 16:33:05"
"F6:CE:87:F2:06:21","C5","2422","cap2","-73","139","2023-11-10 16:33:05"
"7A:6B:C2:5A:7B:88","C8","2447","cap2","-71","139","2023-11-10 16:33:05"
"7A:6B:C2:5A:7B:88","C8","2437","cap3","-88","139","2023-11-10 16:33:06"
"F6:CE:87:F2:06:21","C5","2422","cap1","-57","139","2023-11-10 16:33:23"
"52:39:94:90:76:D2","C10","2422","cap1","-48","139","2023-11-10 16:33:23"
"02:9D:2F:8D:49:90","C6","2417","cap1","-53","139","2023-11-10 16:33:23"
"56:3A:A2:F8:0C:63","C3","2447","cap1","-59","139","2023-11-10 16:33:23"
"7A:6B:C2:5A:7B:88","C8","2447","cap1","-55","139","2023-11-10 16:33:23"
"02:9D:2F:8D:49:90","C6","2417","cap2","-81","139","2023-11-10 16:33:24"
"F6:CE:87:F2:06:21","C5","2417","cap2","-68","139","2023-11-10 16:33:24"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-76","139","2023-11-10 16:33:24"
"52:39:94:90:76:D2","C10","2417","cap2","-67","139","2023-11-10 16:33:24"
"56:3A:A2:F8:0C:63","C3","2447","cap2","-74","139","2023-11-10 16:33:24"
"02:9D:2F:8D:49:90","C6","2417","cap3","-84","139","2023-11-10 16:33:24"
"52:39:94:90:76:D2","C10","2422","cap3","-88","139","2023-11-10 16:33:24"
"7A:6B:C2:5A:7B:88","C8","2437","cap3","-88","139","2023-11-10 16:33:24"
"F6:CE:87:F2:06:21","C5","2412","cap1","-55","139","2023-11-10 16:33:42"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-63","139","2023-11-10 16:33:42"
"02:9D:2F:8D:49:90","C6","2417","cap1","-61","139","2023-11-10 16:33:42"
"52:39:94:90:76:D2","C10","2422","cap1","-58","139","2023-11-10 16:33:42"
"02:9D:2F:8D:49:90","C6","2412","cap3","-88","139","2023-11-10 16:33:42"
"02:9D:2F:8D:49:90","C6","2417","cap2","-64","139","2023-11-10 16:33:42"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-76","139","2023-11-10 16:33:42"
"52:39:94:90:76:D2","C10","2417","cap2","-68","139","2023-11-10 16:33:42"
"02:9D:2F:8D:49:90","C6","2417","cap1","-49","139","2023-11-10 16:34:01"
