mac_address,ssid,channel,source,signal_strength,floorid,latitude,longitude,timestamp
FE:47:AD:D7:13:E2,C1,2422,cap3,-99,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
FE:47:AD:D7:13:E2,C1,2412,cap2,-81,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
E6:4C:39:FC:36:8B,C2,2442,cap2,-76,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
E6:4C:39:FC:36:8B,C2,2442,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2417,cap3,-89,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap2,-80,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
E6:4C:39:FC:36:8B,C2,2442,cap2,-77,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap1,-64,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
E6:4C:39:FC:36:8B,C2,2447,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2422,cap2,-80,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
E6:4C:39:FC:36:8B,C2,2447,cap2,-78,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap3,-86,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap1,-61,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
E6:4C:39:FC:36:8B,C2,2442,cap1,-60,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
E6:4C:39:FC:36:8B,C2,2452,cap1,-75,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap2,-74,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
E6:4C:39:FC:36:8B,C2,2437,cap2,-78,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap3,-87,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap1,-64,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
E6:4C:39:FC:36:8B,C2,2437,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2417,cap2,-75,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
E6:4C:39:FC:36:8B,C2,2447,cap2,-77,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2417,cap3,-83,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2417,cap2,-75,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
E6:4C:39:FC:36:8B,C2,2437,cap2,-76,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2412,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
E6:4C:39:FC:36:8B,C2,2452,cap1,-79,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2412,cap3,-86,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2417,cap1,-55,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
E6:4C:39:FC:36:8B,C2,2442,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2422,cap2,-88,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
E6:4C:39:FC:36:8B,C2,2447,cap2,-78,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2412,cap1,-61,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
E6:4C:39:FC:36:8B,C2,2437,cap1,-60,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
FE:47:AD:D7:13:E2,C1,2417,cap2,-76,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
E6:4C:39:FC:36:8B,C2,2432,cap2,-75,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
FE:47:AD:D7:13:E2,C1,2417,cap3,-86,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
FE:47:AD:D7:13:E2,C1,2412,cap2,-82,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
E6:4C:39:FC:36:8B,C2,2442,cap2,-74,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
FE:47:AD:D7:13:E2,C1,2412,cap1,-61,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
E6:4C:39:FC:36:8B,C2,2442,cap1,-61,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
FE:47:AD:D7:13:E2,C1,2412,cap2,-82,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
E6:4C:39:FC:36:8B,C2,2447,cap2,-76,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
FE:47:AD:D7:13:E2,C1,2412,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
E6:4C:39:FC:36:8B,C2,2452,cap1,-77,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
FE:47:AD:D7:13:E2,C1,2422,cap2,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
E6:4C:39:FC:36:8B,C2,2442,cap2,-72,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2412,cap1,-64,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
E6:4C:39:FC:36:8B,C2,2452,cap1,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2417,cap3,-92,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2417,cap2,-69,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
E6:4C:39:FC:36:8B,C2,2437,cap2,-64,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2412,cap1,-63,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
E6:4C:39:FC:36:8B,C2,2452,cap1,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2422,cap2,-73,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
E6:4C:39:FC:36:8B,C2,2437,cap2,-63,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2417,cap1,-57,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
E6:4C:39:FC:36:8B,C2,2447,cap1,-61,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2412,cap3,-93,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2412,cap2,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
E6:4C:39:FC:36:8B,C2,2452,cap2,-86,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2412,cap1,-62,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
E6:4C:39:FC:36:8B,C2,2452,cap1,-73,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
E6:4C:39:FC:36:8B,C2,2437,cap3,-89,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
FE:47:AD:D7:13:E2,C1,2417,cap2,-81,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
E6:4C:39:FC:36:8B,C2,2442,cap2,-63,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
FE:47:AD:D7:13:E2,C1,2412,cap1,-64,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
E6:4C:39:FC:36:8B,C2,2452,cap1,-72,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
FE:47:AD:D7:13:E2,C1,2412,cap2,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
E6:4C:39:FC:36:8B,C2,2447,cap2,-67,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
FE:47:AD:D7:13:E2,C1,2412,cap3,-91,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
FE:47:AD:D7:13:E2,C1,2417,cap1,-62,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
E6:4C:39:FC:36:8B,C2,2442,cap1,-60,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
FE:47:AD:D7:13:E2,C1,2412,cap2,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
E6:4C:39:FC:36:8B,C2,2447,cap2,-73,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
FE:47:AD:D7:13:E2,C1,2412,cap3,-91,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
FE:47:AD:D7:13:E2,C1,2412,cap1,-63,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
E6:4C:39:FC:36:8B,C2,2447,cap1,-62,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
FE:47:AD:D7:13:E2,C1,2412,cap2,-72,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
E6:4C:39:FC:36:8B,C2,2447,cap2,-71,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
FE:47:AD:D7:13:E2,C1,2412,cap3,-91,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
FE:47:AD:D7:13:E2,C1,2412,cap1,-63,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
E6:4C:39:FC:36:8B,C2,2452,cap1,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
FE:47:AD:D7:13:E2,C1,2417,cap2,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
E6:4C:39:FC:36:8B,C2,2447,cap2,-70,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
FE:47:AD:D7:13:E2,C1,2417,cap3,-85,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
FE:47:AD:D7:13:E2,C1,2422,cap1,-65,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
E6:4C:39:FC:36:8B,C2,2452,cap1,-69,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
FE:47:AD:D7:13:E2,C1,2417,cap2,-70,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
E6:4C:39:FC:36:8B,C2,2447,cap2,-72,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
FE:47:AD:D7:13:E2,C1,2412,cap1,-60,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
E6:4C:39:FC:36:8B,C2,2442,cap1,-57,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
FE:47:AD:D7:13:E2,C1,2412,cap3,-87,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
FE:47:AD:D7:13:E2,C1,2417,cap2,-72,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
E6:4C:39:FC:36:8B,C2,2437,cap2,-66,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
FE:47:AD:D7:13:E2,C1,2412,cap1,-60,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
E6:4C:39:FC:36:8B,C2,2447,cap1,-60,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
